Zeitstempel,Temperatur,Luftfeuchtigkeit
20.02.2025 11:00:00,"23,3",22
20.02.2025 11:05:00,"23,4",23
20.02.2025 11:10:00,"23,4",23
20.02.2025 11:15:00,"23,4",23
20.02.2025 11:20:00,"23,4",23
20.02.2025 11:25:00,"23,4",23
20.02.2025 11:30:00,"23,5",22
20.02.2025 11:35:00,"23,5",22
20.02.2025 11:40:00,"23,5",22
20.02.2025 11:45:00,"23,5",23
20.02.2025 11:50:00,"23,5",23
20.02.2025 11:55:00,"23,6",22
20.02.2025 12:00:00,"23,6",22
20.02.2025 12:05:00,"23,6",22
20.02.2025 12:10:00,"23,6",23
20.02.2025 12:15:00,"23,6",23
20.02.2025 12:20:00,"23,6",23
20.02.2025 12:25:00,"23,7",23
20.02.2025 12:30:00,"23,7",23
20.02.2025 12:35:00,"23,7",23
20.02.2025 12:40:00,"23,7",23
20.02.2025 12:45:00,"23,8",23
20.02.2025 12:50:00,"23,8",23
20.02.2025 12:55:00,"23,5",22
20.02.2025 13:00:00,"23,4",23
20.02.2025 13:05:00,"23,4",22
20.02.2025 13:10:00,"23,5",23
20.02.2025 13:15:00,"23,6",23
20.02.2025 13:20:00,"23,6",23
20.02.2025 13:25:00,"23,6",24
20.02.2025 13:30:00,"23,6",23
20.02.2025 13:35:00,"23,6",23
20.02.2025 13:40:00,"23,7",24
20.02.2025 13:45:00,"23,7",23
20.02.2025 13:50:00,"23,7",23
20.02.2025 13:55:00,"23,7",23
20.02.2025 14:00:00,"23,8",23
20.02.2025 14:05:00,"23,8",23
20.02.2025 14:10:00,"23,8",23
20.02.2025 14:15:00,"23,9",24
20.02.2025 14:20:00,"23,9",24
20.02.2025 14:25:00,"23,9",24
20.02.2025 14:30:00,"23,9",23
20.02.2025 14:35:00,"23,9",23
20.02.2025 14:40:00,"23,9",22
20.02.2025 14:45:00,"23,9",22
20.02.2025 14:50:00,"23,7",21
20.02.2025 14:55:00,"23,6",21
20.02.2025 15:00:00,"23,6",21
20.02.2025 15:05:00,"23,7",22
20.02.2025 15:10:00,"23,7",22
20.02.2025 15:15:00,"23,8",22
20.02.2025 15:20:00,"23,8",23
20.02.2025 15:25:00,"23,9",23
20.02.2025 15:30:00,24,23
20.02.2025 15:35:00,24,23
20.02.2025 15:40:00,24,23
20.02.2025 15:45:00,24,23
20.02.2025 15:50:00,"24,1",23
20.02.2025 15:55:00,"24,1",22
20.02.2025 16:00:00,"24,1",23
20.02.2025 16:05:00,"24,1",22
20.02.2025 16:10:00,"24,2",23
20.02.2025 16:15:00,"24,2",23
20.02.2025 16:20:00,"24,2",23
20.02.2025 16:25:00,"24,2",23
